FunctionName,VersionCount
user-service-stg-healthV1,4
chat-service-prd-closeUserSession,21
chat-service-prd-updateStatus,23
alert-service-dev-updateAlertWorkflow,48
payments-service-prd-createOrder,13
chat-service-prd-call,23
payments-service-stg-returnDeadlineCron,7
partner-integration-dev-webhookLabEvent,4
order-service-stg-swagger-ui,24
dev_handle_user_created_v1,7
device-service-prd-errorNotification,8
chat-service-prd-createRecordingApi,23
chat-service-prd-recording,23
payments-service-prd-capturePayment,13
walkin-service-prd-swagger-json,10
template-service-dev-updateTemplateVersion,17
clinic-details-apis-v3-dev-create-clinicEntry,17
user-service-stg-getPendingAppointment,27
user-service-stg-listOrganizationUsers,42
payments-service-prd-createSetupIntent,5
Telehealth-Scheduler-prd-fetchSchedulesList,24
fairway-connect-apis-prd-notifyEmailStream,9
dev_save_org_role,22
user-service-stg-listUserOrganizations,42
device-service-stg-deviceOrgList,18
payments-service-dev-returnDeadlineCron,9
walkin-service-stg-updateBlock,34
clinic-details-apis-v3-dev-delete-clinicEntry,17
walkin-service-prd-updateBlock,12
chat-service-prd-fetchLatestMessages,23
walkin-service-stg-scheduleAppointment,34
user-service-stg-listDoctorPatients,42
partner-integration-dev-updateCredit,4
walkin-service-prd-getTokensByIds,12
order-service-stg-createPharmacyOrder,24
prd_logout,10
sso-integration-prd-cancellationReconciliationWorker,7
payments-service-prd-completePayment,13
fairway-connect-apis-prd-updateEnrollmentStatus,9
user-service-stg-getOrganizationUserCount,42
device-service-prd-deviceUserRemove,8
device-service-stg-getOrganizationDevice,16
user-service-prd-updateRecentInvite,14
organization-service-stg-getExternalTenant,10
stg_get_role_permissions_v1,3
okr-management-apis-v1-dev-delete-Objective,10
chat-service-prd-acknowledge,23
template-service-dev-listTemplateConfigs,19
okr-management-apis-v1-dev-create-Objective,10
payments-service-dev-chargeCustomer,9
chat-service-prd-uploadImageApi,22
device-service-prd-deviceUpdate,8
partner-integration-dev-cancelOrder,4
clinic-details-apis-v3-stg-swagger-ui,3
payments-service-stg-chargeCustomer,7
order-service-prd-getOrderById,8
payments-service-stg-checkPaymentStatus,19
device-service-dev-getOrganizationDevice,37
metadata-registry-service-dev-getMetadataRelatedValues,44
metadata-registry-service-dev-health,29
stg_save_org_default_role_v1,3
order-service-stg-refundPayment,24
payments-service-dev-createPaymentIntent,16
chat-service-stg-transferUserChat,48
user-service-prd-getOrganizationUserCount,14
payments-service-prd-createCustomer,5
bff-layer-dev-doctorDashboardInitial,13
user-service-prd-listOrganizationUsersPost,14
chat-service-prd-fetchChatHistoryOnOnline,23
user-service-prd-uploadUserFile,14
payments-service-prd-cancelPayment,13
Telehealth-Scheduler-prd-updateStatus,24
user-service-stg-listOrganizationUsersPost,36
fairway-connect-apis-prd-listEnrollments,9
partner-integration-dev-rescheduleOrder,4
clinic-details-apis-v3-stg-process-clinic-Stream,4
user-service-stg-listPendingAppointments,27
chat-service-prd-createSignedUrl,23
organization-service-dev-getExternalTenant,31
walkin-service-prd-scheduleAppointment,12
user-service-prd-deleteUser,14
organization-service-stg-getOrganizationMetadata,17
payments-service-stg-capturePayment,19
user-service-prd-getPendingAppointment,14
device-service-prd-deviceUserRegister,8
order-service-prd-createPharmacyOrder,8
partner-integration-dev-confirmBooking,4
payments-service-prd-getPayment,13
Telehealth-Scheduler-prd-fetchUserList,24
clinic-details-apis-v3-stg-get-clinicDetails,4
device-service-stg-deviceUpdate,18
user-service-prd-listUserFiles,14
partner-integration-dev-createUpdateWebhook,3
clinic-details-apis-v3-dev-process-clinic-Stream,17
user-service-dev-userProfileStreamHandler,38
device-service-prd-deviceRegister,8
user-service-stg-activateDeactivateUser,42
sso-integration-prd-appointmentSync,7
template-service-dev-deriveTemplate,17
walkin-service-stg-createBlock,33
stg_payment_stream_handler,19
chat-service-prd-transferChat,23
Telehealth-Scheduler-prd-scheduleDbStream,17
device-service-stg-errorNotification,18
bff-layer-prd-frontdesk,7
okr-management-apis-v1-dev-get-KeyResultById,9
stg_logout,20
order-service-prd-listOrders,8
template-service-dev-getOrgTemplateVersions,22
user-service-prd-v2UserList,14
okr-management-apis-v1-dev-delete-KeyResult,9
metadata-registry-service-dev-postMetadata,48
prd_save_org_default_role,4
dev_get_assigned_users,18
device-service-stg-deviceOrgAssign,20
user-service-stg-updateRecentInvite,42
payments-service-dev-createCustomer,9
bff-layer-stg-availabilityScheduleConflicts,25
user-service-stg-notificationConsumer,38
user-service-stg-friendFamilyAddMember,40
template-service-dev-upsertMasterTemplate,17
device-service-prd-deviceFileUpload,8
device-service-prd-deviceSearch,8
prd_token_stream_handler,12
fairway-connect-apis-prd-testDeviceReturnReminderScheduler,8
dev_get_organizational_roles,19
chat-service-stg-voiceRecording,45
chat-service-prd-exportChat,23
user-service-stg-assignDoctor,42
organization-service-prd-getOrganization,9
payments-service-stg-createSetupIntent,7
user-service-stg-friendFamilyCheck,40
organization-service-prd-getLinkedOrganizations,9
user-service-stg-warmup-plugin-default,15
user-service-stg-createUser,42
device-service-prd-deviceList,8
user-service-prd-userRoleAssignmentRequested,8
user-service-prd-swagger-json,6
order-service-prd-getOrder,8
user-service-prd-updateUserMetadata,14
dev_delete_org_role_v1,6
user-service-stg-userProfileStreamHandler,7
stg_sync_roles_handler,17
fairway-connect-apis-prd-storePaymentMethod,8
device-service-stg-deviceUserRegister,14
user-service-stg-updateUser,43
order-service-prd-paymentEvents,8
stg_get_user_permissions_v1,3
order-service-stg-swagger-json,24
order-service-dev-ssmSync,18
template-service-dev-getOrgVersionStatus,10
alert-service-dev-swagger-ui,5
walkin-service-stg-squeezeinQueueAvailability,32
Telehealth-Scheduler-stg-fetchUserAvailability,34
fairway-connect-apis-prd-paymentOnPaymentInitiated,9
organization-service-stg-setOrgStatus,17
alert-service-dev-onCreateAlert,31
template-service-dev-listTemplates,17
device-service-stg-deviceRecommendationRemove,18
device-service-prd-health,5
